name,version,status,observable,remoteType,remoteUrl,pkgKinds,httpReachable,httpStatus,handshake,toolsListed,authRequired,toolCount,annotatedTools,readOnlyHint,destructiveHint,idempotentHint,openWorldHint,failReason
com.zalize.leads/leadsleuth,1.0.2,active,true,streamable-http,https://leads.zalize.com/api/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.Berckan/bugherd-mcp,0.2.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.mcp-dir/pref_mg_para_minas_cnd-mcp,0.1.0,active,true,streamable-http,https://api.mcp.ai/p_pref_mg_para_minas_cnd,,true,200,initialize,true,false,7,7,7,7,7,7,
com.1102tools/gsa-perdiem-mcp,1.0.8,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.andresdefi/zerodust,0.3.1,active,true,streamable-http,https://api.zerodust.xyz/mcp,npm,true,200,initialize,true,false,7,7,7,1,0,7,
at.memebo/memeboat-mcp,0.3.0,active,true,streamable-http,https://memebo.at/mcp,npm,true,500,none,false,false,0,0,0,0,0,0,rpc-error:-32603:Internal server error
com.acjlabs/catalog-normalizer,0.1.2,active,true,streamable-http,https://catalog-normalizer.acjlabs.com/mcp,,true,200,initialize,true,false,1,1,1,0,0,1,
io.github.dcostenco/prism-coder,20.15.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
com.zahabprice/gold-prices,1.0.0,active,true,streamable-http,https://www.zahabprice.com/mcp,,true,200,initialize,true,false,4,0,0,0,0,0,
io.github.hifriendbot/ailist-mcp,1.0.3,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.wgt19861219/godot-mcp-enhanced,0.24.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.Evozim/labor-trends,1.0.0,active,true,sse,https://labor-trends-mcp.vercel.app/api/mcp,,true,402,,false,false,0,0,0,0,0,0,sse-open-failed(http 402)
ai.ai-akari/agent-trust-receipt,1.1.0,active,true,streamable-http,https://ai-akari.ai/mcp-trust,,true,200,initialize,true,false,2,2,2,2,2,2,
io.appcircle/appcircle-mcp,1.0.0,active,true,streamable-http,https://mcp.appcircle.io,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.usefulapi/raisely,1.0.0,active,true,streamable-http,https://raisely.usefulapi.io/mcp,,true,200,initialize,true,false,23,23,19,4,0,0,
io.github.Evozim/clause-risk-score-evaluator-mcp,2.0.0,active,true,sse,https://api.m2mcent.com/clause-risk-score-evaluator-mcp/sse,,true,402,,false,false,0,0,0,0,0,0,sse-open-failed(http 402)
io.github.NanaGyamfiPrempeh30/k8s-troubleshoot-mcp,1.0.0,active,false,,,oci,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.opendata-kr/narajangteo-corpinfo,0.2.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.revelc-ui/retrochat,0.1.0,active,true,streamable-http,https://retrochatlabs.com/mcp,,true,405,none,false,false,0,0,0,0,0,0,no-jsonrpc-response(http 405)
io.github.atlasprzetargow/mcp,0.1.1,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.wwwwujl/yuque-mcp,1.1.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.codespar/mcp-rinne,0.1.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.damdafayton/avukatim,1.0.1,active,true,sse,https://hukuk.damdafa.com/mcp/server/sse,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
com.hasdata/booking,1.0.0,active,true,streamable-http,https://mcp.hasdata.com/api/mcp?apis=booking,npm,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.apatilgtn/k8scortex-mcp,1.0.2,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
